"Date","Day Traded","$USD","SOXS","BIL","UVXY","SOXL","TQQQ"
"2023-09-28","Yes","-","-","100.0%","-","-","-"
"2023-09-27","Yes","-","-","-","-","100.0%","-"
"2023-09-26","Yes","-","-","-","-","100.0%","-"
"2023-09-25","Yes","-","-","100.0%","-","-","-"
"2023-09-22","Yes","-","-","-","-","100.0%","-"
"2023-09-21","Yes","-","-","-","-","100.0%","-"
"2023-09-20","Yes","-","-","100.0%","-","-","-"
"2023-09-19","Yes","-","-","-","-","-","100.0%"
"2023-09-18","Yes","-","-","-","-","-","100.0%"
"2023-09-15","Yes","-","-","-","-","-","100.0%"
"2023-09-14","Yes","-","-","100.0%","-","-","-"
"2023-09-13","Yes","-","-","100.0%","-","-","-"
"2023-09-12","Yes","-","-","100.0%","-","-","-"
"2023-09-11","Yes","-","-","100.0%","-","-","-"
"2023-09-08","Yes","-","-","100.0%","-","-","-"
"2023-09-07","Yes","-","-","100.0%","-","-","-"
"2023-09-06","Yes","-","-","100.0%","-","-","-"
"2023-09-05","Yes","-","-","100.0%","-","-","-"
"2023-09-01","Yes","-","-","-","-","-","100.0%"
"2023-08-31","Yes","-","-","-","-","-","100.0%"
"2023-08-30","Yes","-","-","-","-","-","100.0%"
"2023-08-29","Yes","-","-","-","-","-","100.0%"
"2023-08-28","Yes","-","-","100.0%","-","-","-"
"2023-08-25","Yes","-","-","100.0%","-","-","-"
"2023-08-24","Yes","-","-","100.0%","-","-","-"
"2023-08-23","Yes","-","-","100.0%","-","-","-"
"2023-08-22","Yes","-","-","100.0%","-","-","-"
"2023-08-21","Yes","-","-","100.0%","-","-","-"
"2023-08-18","Yes","-","-","100.0%","-","-","-"
"2023-08-17","Yes","-","-","100.0%","-","-","-"
"2023-08-16","Yes","-","-","100.0%","-","-","-"
"2023-08-15","Yes","-","-","100.0%","-","-","-"
"2023-08-14","Yes","-","-","100.0%","-","-","-"
"2023-08-11","Yes","-","-","100.0%","-","-","-"
"2023-08-10","Yes","-","-","100.0%","-","-","-"
"2023-08-09","Yes","-","-","100.0%","-","-","-"
"2023-08-08","Yes","-","-","100.0%","-","-","-"
"2023-08-07","Yes","-","-","100.0%","-","-","-"
"2023-08-04","Yes","-","-","100.0%","-","-","-"
"2023-08-03","Yes","-","-","100.0%","-","-","-"
"2023-08-02","Yes","-","-","100.0%","-","-","-"
"2023-08-01","Yes","-","-","100.0%","-","-","-"
"2023-07-31","Yes","-","-","100.0%","-","-","-"
"2023-07-28","Yes","-","-","100.0%","-","-","-"
"2023-07-27","Yes","-","-","100.0%","-","-","-"
"2023-07-26","Yes","-","-","-","-","-","100.0%"
"2023-07-25","Yes","-","-","-","-","-","100.0%"
"2023-07-24","Yes","-","-","-","-","-","100.0%"
"2023-07-21","Yes","-","-","-","-","-","100.0%"
"2023-07-20","Yes","-","-","-","-","-","100.0%"
"2023-07-19","Yes","-","100.0%","-","-","-","-"
"2023-07-18","Yes","-","100.0%","-","-","-","-"
"2023-07-17","Yes","-","-","100.0%","-","-","-"
"2023-07-14","Yes","-","-","100.0%","-","-","-"
"2023-07-13","Yes","-","-","100.0%","-","-","-"
"2023-07-12","Yes","-","-","100.0%","-","-","-"
"2023-07-11","Yes","-","-","100.0%","-","-","-"
"2023-07-10","Yes","-","-","100.0%","-","-","-"
"2023-07-07","Yes","-","-","100.0%","-","-","-"
"2023-07-06","Yes","-","-","100.0%","-","-","-"
"2023-07-05","Yes","-","-","-","-","-","100.0%"
"2023-07-03","Yes","-","-","-","-","-","100.0%"
"2023-06-30","Yes","-","-","-","-","-","100.0%"
"2023-06-29","Yes","-","-","-","-","-","100.0%"
"2023-06-28","Yes","-","-","-","-","-","100.0%"
"2023-06-27","Yes","-","-","-","-","-","100.0%"
"2023-06-26","Yes","-","-","-","-","-","100.0%"
"2023-06-23","Yes","-","-","-","-","-","100.0%"
"2023-06-22","Yes","-","-","-","-","-","100.0%"
"2023-06-21","Yes","-","-","-","-","-","100.0%"
"2023-06-20","Yes","-","-","-","-","-","100.0%"
"2023-06-16","Yes","-","-","-","-","-","100.0%"
"2023-06-15","Yes","-","100.0%","-","-","-","-"
"2023-06-14","Yes","-","-","-","-","-","100.0%"
"2023-06-13","Yes","-","-","-","-","-","100.0%"
"2023-06-12","Yes","-","-","-","-","-","100.0%"
"2023-06-09","Yes","-","-","-","-","-","100.0%"
"2023-06-08","Yes","-","-","-","-","-","100.0%"
"2023-06-07","Yes","-","-","-","-","-","100.0%"
"2023-06-06","Yes","-","-","-","-","-","100.0%"
"2023-06-05","Yes","-","-","-","-","-","100.0%"
"2023-06-02","Yes","-","-","-","-","-","100.0%"
"2023-06-01","Yes","-","-","-","-","-","100.0%"
"2023-05-31","Yes","-","-","-","-","-","100.0%"
"2023-05-30","Yes","-","-","100.0%","-","-","-"
"2023-05-26","Yes","-","-","100.0%","-","-","-"
"2023-05-25","Yes","-","-","100.0%","-","-","-"
"2023-05-24","Yes","-","-","100.0%","-","-","-"
"2023-05-23","Yes","-","-","100.0%","-","-","-"
"2023-05-22","Yes","-","-","100.0%","-","-","-"
"2023-05-19","Yes","-","-","100.0%","-","-","-"
"2023-05-18","Yes","-","-","100.0%","-","-","-"
"2023-05-17","Yes","-","-","100.0%","-","-","-"
"2023-05-16","Yes","-","-","100.0%","-","-","-"
"2023-05-15","Yes","-","-","100.0%","-","-","-"
"2023-05-12","Yes","-","-","100.0%","-","-","-"
"2023-05-11","Yes","-","-","100.0%","-","-","-"
"2023-05-10","Yes","-","-","100.0%","-","-","-"
"2023-05-09","Yes","-","-","100.0%","-","-","-"
"2023-05-08","Yes","-","-","100.0%","-","-","-"
"2023-05-05","Yes","-","-","100.0%","-","-","-"
"2023-05-04","Yes","-","-","100.0%","-","-","-"
"2023-05-03","Yes","-","-","100.0%","-","-","-"
"2023-05-02","Yes","-","-","100.0%","-","-","-"
"2023-05-01","Yes","-","-","100.0%","-","-","-"
"2023-04-28","Yes","-","-","-","-","-","100.0%"
"2023-04-27","Yes","-","-","-","-","-","100.0%"
"2023-04-26","Yes","-","-","-","-","-","100.0%"
"2023-04-25","Yes","-","-","100.0%","-","-","-"
"2023-04-24","Yes","-","-","100.0%","-","-","-"
"2023-04-21","Yes","-","-","100.0%","-","-","-"
"2023-04-20","Yes","-","-","100.0%","-","-","-"
"2023-04-19","Yes","-","-","100.0%","-","-","-"
"2023-04-18","Yes","-","-","100.0%","-","-","-"
"2023-04-17","Yes","-","-","100.0%","-","-","-"
"2023-04-14","Yes","-","-","100.0%","-","-","-"
"2023-04-13","Yes","-","-","-","-","-","100.0%"
"2023-04-12","Yes","-","-","-","-","-","100.0%"
"2023-04-11","Yes","-","-","-","-","-","100.0%"
"2023-04-10","Yes","-","-","-","-","-","100.0%"
"2023-04-06","Yes","-","-","-","-","-","100.0%"
"2023-04-05","Yes","-","-","-","-","-","100.0%"
"2023-04-04","Yes","-","-","-","-","-","100.0%"
"2023-04-03","Yes","-","-","-","-","-","100.0%"
"2023-03-31","Yes","-","-","-","-","-","100.0%"
"2023-03-30","Yes","-","-","100.0%","-","-","-"
"2023-03-29","Yes","-","-","100.0%","-","-","-"
"2023-03-28","Yes","-","-","100.0%","-","-","-"
"2023-03-27","Yes","-","-","100.0%","-","-","-"
"2023-03-24","Yes","-","-","-","-","-","100.0%"
"2023-03-23","Yes","-","-","-","-","-","100.0%"
"2023-03-22","Yes","-","-","-","-","-","100.0%"
"2023-03-21","Yes","-","-","-","-","-","100.0%"
"2023-03-20","Yes","-","-","-","-","-","100.0%"
"2023-03-17","Yes","-","-","-","-","-","100.0%"
"2023-03-16","Yes","-","-","-","-","-","100.0%"
"2023-03-15","Yes","-","-","-","-","-","100.0%"
"2023-03-14","Yes","-","-","100.0%","-","-","-"
"2023-03-13","Yes","-","-","100.0%","-","-","-"
"2023-03-10","Yes","-","-","-","-","-","100.0%"
"2023-03-09","Yes","-","-","100.0%","-","-","-"
"2023-03-08","Yes","-","-","100.0%","-","-","-"
"2023-03-07","Yes","-","-","100.0%","-","-","-"
"2023-03-06","Yes","-","-","100.0%","-","-","-"
"2023-03-03","Yes","-","-","100.0%","-","-","-"
"2023-03-02","Yes","-","-","100.0%","-","-","-"
"2023-03-01","Yes","-","-","100.0%","-","-","-"
"2023-02-28","Yes","-","-","100.0%","-","-","-"
"2023-02-27","Yes","-","-","100.0%","-","-","-"
"2023-02-24","Yes","-","-","100.0%","-","-","-"
"2023-02-23","Yes","-","-","100.0%","-","-","-"
"2023-02-22","Yes","-","-","100.0%","-","-","-"
"2023-02-21","Yes","-","-","100.0%","-","-","-"
"2023-02-17","Yes","-","-","100.0%","-","-","-"
"2023-02-16","Yes","-","-","100.0%","-","-","-"
"2023-02-15","Yes","-","-","100.0%","-","-","-"
"2023-02-14","Yes","-","-","100.0%","-","-","-"
"2023-02-13","Yes","-","-","100.0%","-","-","-"
"2023-02-10","Yes","-","-","100.0%","-","-","-"
"2023-02-09","Yes","-","-","100.0%","-","-","-"
"2023-02-08","Yes","-","-","100.0%","-","-","-"
"2023-02-07","Yes","-","-","100.0%","-","-","-"
"2023-02-06","Yes","-","-","-","-","-","100.0%"
"2023-02-03","Yes","-","-","-","-","-","100.0%"
"2023-02-02","Yes","-","-","-","-","-","100.0%"
"2023-02-01","Yes","-","-","-","-","-","100.0%"
"2023-01-31","Yes","-","-","100.0%","-","-","-"
"2023-01-30","Yes","-","-","100.0%","-","-","-"
"2023-01-27","Yes","-","-","100.0%","-","-","-"
"2023-01-26","Yes","-","-","100.0%","-","-","-"
"2023-01-25","Yes","-","-","100.0%","-","-","-"
"2023-01-24","Yes","-","-","100.0%","-","-","-"
"2023-01-23","Yes","-","-","100.0%","-","-","-"
"2023-01-20","Yes","-","-","-","-","-","100.0%"
"2023-01-19","Yes","-","-","-","-","-","100.0%"
"2023-01-18","Yes","-","-","-","-","-","100.0%"
"2023-01-17","Yes","-","-","-","-","-","100.0%"
"2023-01-13","Yes","-","-","-","-","-","100.0%"
"2023-01-12","Yes","-","-","-","-","-","100.0%"
"2023-01-11","Yes","-","-","-","-","-","100.0%"
"2023-01-10","Yes","-","-","-","-","-","100.0%"
"2023-01-09","Yes","-","-","100.0%","-","-","-"
"2023-01-06","Yes","-","-","100.0%","-","-","-"
"2023-01-05","Yes","-","-","100.0%","-","-","-"
"2023-01-04","Yes","-","-","100.0%","-","-","-"
"2023-01-03","Yes","-","-","100.0%","-","-","-"
"2022-12-30","Yes","-","-","100.0%","-","-","-"
"2022-12-29","Yes","-","-","100.0%","-","-","-"
"2022-12-28","Yes","-","-","100.0%","-","-","-"
"2022-12-27","Yes","-","-","100.0%","-","-","-"
"2022-12-23","Yes","-","-","100.0%","-","-","-"
"2022-12-22","Yes","-","-","100.0%","-","-","-"
"2022-12-21","Yes","-","-","100.0%","-","-","-"
"2022-12-20","Yes","-","-","100.0%","-","-","-"
"2022-12-19","Yes","-","-","100.0%","-","-","-"
"2022-12-16","Yes","-","-","100.0%","-","-","-"
"2022-12-15","Yes","-","-","100.0%","-","-","-"
"2022-12-14","Yes","-","-","100.0%","-","-","-"
"2022-12-13","Yes","-","-","100.0%","-","-","-"
"2022-12-12","Yes","-","-","100.0%","-","-","-"
"2022-12-09","Yes","-","-","100.0%","-","-","-"
"2022-12-08","Yes","-","-","-","-","-","100.0%"
"2022-12-07","Yes","-","-","-","-","-","100.0%"
"2022-12-06","Yes","-","-","-","-","-","100.0%"
"2022-12-05","Yes","-","-","-","-","-","100.0%"
